,date_fichier,id,disruption_id,impact_id,period_begin,period_end,status,updated_at,tags,cause,category,severity.name,severity.effect,severity.color,severity.priority,messages_text,impacted_objects_pt_object_id,impacted_objects_pt_object_name
3257,2024-01-25 00:30:00,f79bf858-bbd8-11ee-94b9-0a58a9feac02,df992246-bbd6-11ee-98b4-0a58a9feac02,f79bf858-bbd8-11ee-94b9-0a58a9feac02,2024-01-26 00:20:00,2024-01-27 05:15:00,active,2024-01-26 00:25:03,"Actualité,Actualité",perturbation,Incidents,bloquante,NO_SERVICE,#FF0000,0,<p>Le trafic est interrompu entre Havre-Caumartin et Oberkampf en raison d'un bagage oublié à République. <br>Heure de reprise estimée : 00h40.<br>Nous vous invitons à emprunter des itinéraires alternatifs et à vous rapprocher de nos agents.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>,line:IDFM:C01379,RATP Métro 9
3261,2024-01-25 00:30:00,f79bf858-bbd8-11ee-94b9-0a58a9feac02,df992246-bbd6-11ee-98b4-0a58a9feac02,f79bf858-bbd8-11ee-94b9-0a58a9feac02,2024-01-26 00:20:00,2024-01-27 05:15:00,active,2024-01-26 00:25:03,"Actualité,Actualité,Actualité,Actualité",perturbation,Incidents,bloquante,NO_SERVICE,#FF0000,0,Métro 9 : Bagage oublié - Trafic interrompu,line:IDFM:C01379,RATP Métro 9
3440,2024-01-25 06:30:00,04dadf8c-bb40-11ee-931c-0a58a9feac02,4d579f08-bb3f-11ee-931c-0a58a9feac02,04dadf8c-bb40-11ee-931c-0a58a9feac02,2024-01-25 06:06:35,2024-01-25 06:07:35,past,2024-01-25 06:10:12,Actualité,perturbation,Incidents,bloquante,NO_SERVICE,#FF0000,0,<p>Le trafic est interrompu en direction de Pont de Sèvres en raison d'un dégagement de fumée. <br>Heure de reprise estimée : 06h30.<br>Nous vous invitons à emprunter des itinéraires alternatifs et à vous rapprocher de nos agents.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>,line:IDFM:C01379,RATP Métro 9
3441,2024-01-25 06:30:00,1886a3a2-bb42-11ee-98b4-0a58a9feac02,009261f2-bb40-11ee-931c-0a58a9feac02,1886a3a2-bb42-11ee-98b4-0a58a9feac02,2024-01-25 06:22:00,2024-01-26 05:15:00,active,2024-01-25 06:25:04,"Actualité,Actualité",perturbation,Incidents,bloquante,NO_SERVICE,#FF0000,0,<p>Le trafic est interrompu entre Franklin D. Roosevelt et Havre-Caumartin en raison d'un dégagement de fumée. <br>Heure de reprise estimée : 07h30.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>,line:IDFM:C01379,RATP Métro 9
3454,2024-01-25 06:30:00,1886a3a2-bb42-11ee-98b4-0a58a9feac02,009261f2-bb40-11ee-931c-0a58a9feac02,1886a3a2-bb42-11ee-98b4-0a58a9feac02,2024-01-25 06:22:00,2024-01-26 05:15:00,active,2024-01-25 06:25:04,"Actualité,Actualité,Actualité,Actualité",perturbation,Incidents,bloquante,NO_SERVICE,#FF0000,0,Métro 9 : Dégagement de fumée - Trafic interrompu,line:IDFM:C01379,RATP Métro 9
3455,2024-01-25 06:30:00,04dadf8c-bb40-11ee-931c-0a58a9feac02,4d579f08-bb3f-11ee-931c-0a58a9feac02,04dadf8c-bb40-11ee-931c-0a58a9feac02,2024-01-25 06:06:35,2024-01-25 06:07:35,past,2024-01-25 06:10:12,"Actualité,Actualité",perturbation,Incidents,bloquante,NO_SERVICE,#FF0000,0,Métro 9 : Dégagement de fumée - Trafic interrompu,line:IDFM:C01379,RATP Métro 9
3654,2024-01-25 10:30:00,3a0e82c2-bb62-11ee-9d9d-0a58a9feac02,89408e40-bb61-11ee-9d9d-0a58a9feac02,3a0e82c2-bb62-11ee-9d9d-0a58a9feac02,2024-01-25 10:07:01,2024-01-25 10:08:01,past,2024-01-25 10:15:05,Actualité,perturbation,Incidents,perturbée,SIGNIFICANT_DELAYS,#EF662F,30,<p>Le trafic est perturbé en direction de Mairie de Montreuil en raison d'un métro en panne à Pont de Sèvres<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>,line:IDFM:C01379,RATP Métro 9
3673,2024-01-25 10:30:00,3a0e82c2-bb62-11ee-9d9d-0a58a9feac02,89408e40-bb61-11ee-9d9d-0a58a9feac02,3a0e82c2-bb62-11ee-9d9d-0a58a9feac02,2024-01-25 10:07:01,2024-01-25 10:08:01,past,2024-01-25 10:15:05,"Actualité,Actualité",perturbation,Incidents,perturbée,SIGNIFICANT_DELAYS,#EF662F,30,Métro 9 : Métro en panne - Trafic perturbé,line:IDFM:C01379,RATP Métro 9
4704,2024-01-25 16:00:00,068e976e-bb91-11ee-931c-0a58a9feac02,068536c4-bb91-11ee-931c-0a58a9feac02,068e976e-bb91-11ee-931c-0a58a9feac02,2024-01-25 15:44:32,2024-01-25 16:45:00,active,2024-01-25 15:50:04,"Actualité,Actualité,Actualité,Actualité",perturbation,Incidents,bloquante,NO_SERVICE,#FF0000,0,<p>Le trafic est interrompu entre Pont de Sèvres et Porte de Saint-Cloud en raison d'un bagage oublié à Pont de Sèvres. <br>Heure de reprise estimée : 16h00.<br>Nous vous invitons à emprunter des itinéraires alternatifs et à vous rapprocher de nos agents.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>,line:IDFM:C01379,RATP Métro 9
4723,2024-01-25 16:00:00,068e976e-bb91-11ee-931c-0a58a9feac02,068536c4-bb91-11ee-931c-0a58a9feac02,068e976e-bb91-11ee-931c-0a58a9feac02,2024-01-25 15:44:32,2024-01-25 16:45:00,active,2024-01-25 15:50:04,"Actualité,Actualité,Actualité,Actualité",perturbation,Incidents,bloquante,NO_SERVICE,#FF0000,0,Métro 9 : Bagage oublié - Trafic interrompu,line:IDFM:C01379,RATP Métro 9
